user_id,interests_combined
1,Software Developer Verilog VHDL Cadence Web Development Statistics Firewall configuration Low power
2,Software Developer Verilog VHDL Cadence Artificial Intelligence Cloud Computing Data Structures Low power
3,Software Developer Cisco Routing Switching Machine Learning Cloud Computing Circuit Analysis API design
4,Data Scientist Verilog VHDL Cadence Web Development Embedded Systems Circuit Analysis IoT security
5,Network Engineer Verilog VHDL Cadence Cybersecurity Embedded Systems Deep Learning API design
6,Data Scientist Verilog VHDL Cadence Digital Design Computer Vision Deep Learning Low power
7,VLSI Designer Python Java SQL Web Development Network Protocols Firewall configuration IoT security
8,AI Researcher Verilog VHDL Cadence Digital Design Cloud Computing Data Structures Big Data visualization
9,Data Scientist Python R Pandas TensorFlow Web Development Embedded Systems Advanced Algorithms Ethics in AI
10,Data Scientist Python PyTorch NLP Artificial Intelligence Embedded Systems Advanced Algorithms API design
11,Network Engineer Python PyTorch NLP Web Development Statistics Advanced Algorithms API design
12,AI Researcher Python R Pandas TensorFlow Machine Learning Computer Vision Data Structures Ethics in AI
13,AI Researcher Python Java SQL Machine Learning Cloud Computing Firewall configuration Ethics in AI
14,AI Researcher Python PyTorch NLP Web Development Network Protocols Data Structures IoT security
15,Network Engineer Python PyTorch NLP Web Development Network Protocols Advanced Algorithms Low power
16,Network Engineer Python Java SQL Machine Learning Network Protocols Advanced Algorithms Big Data visualization
17,Network Engineer Verilog VHDL Cadence Digital Design Statistics Data Structures IoT security
18,Network Engineer Python Java SQL Digital Design Cloud Computing Circuit Analysis IoT security
19,Data Scientist Python R Pandas TensorFlow Machine Learning Computer Vision Data Structures Low power
20,Data Scientist Python PyTorch NLP Cybersecurity Cloud Computing Advanced Algorithms IoT security
21,Software Developer Python R Pandas TensorFlow Cybersecurity Computer Vision Firewall configuration Big Data visualization
22,Network Engineer Verilog VHDL Cadence Machine Learning Embedded Systems Circuit Analysis Big Data visualization
23,Data Scientist Python R Pandas TensorFlow Machine Learning Network Protocols Deep Learning IoT security
24,Software Developer Cisco Routing Switching Machine Learning Network Protocols Advanced Algorithms Ethics in AI
25,Data Scientist Python R Pandas TensorFlow Machine Learning Computer Vision Circuit Analysis Ethics in AI
26,Data Scientist Cisco Routing Switching Artificial Intelligence Embedded Systems Deep Learning IoT security
27,Software Developer Python PyTorch NLP Artificial Intelligence Network Protocols Firewall configuration IoT security
28,Network Engineer Python R Pandas TensorFlow Cybersecurity Computer Vision Advanced Algorithms IoT security
29,VLSI Designer Python PyTorch NLP Web Development Computer Vision Firewall configuration IoT security
30,Software Developer Cisco Routing Switching Machine Learning Statistics Advanced Algorithms API design
31,Software Developer Python PyTorch NLP Machine Learning Embedded Systems Data Structures API design
32,Network Engineer Cisco Routing Switching Digital Design Embedded Systems Data Structures Ethics in AI
33,VLSI Designer Cisco Routing Switching Digital Design Cloud Computing Advanced Algorithms Ethics in AI
34,Software Developer Python Java SQL Web Development Statistics Circuit Analysis Ethics in AI
35,VLSI Designer Python R Pandas TensorFlow Cybersecurity Cloud Computing Advanced Algorithms Big Data visualization
36,Software Developer Python Java SQL Cybersecurity Network Protocols Data Structures Low power
37,VLSI Designer Verilog VHDL Cadence Web Development Embedded Systems Firewall configuration Big Data visualization
38,Data Scientist Python PyTorch NLP Artificial Intelligence Network Protocols Deep Learning Low power
39,Network Engineer Verilog VHDL Cadence Machine Learning Cloud Computing Circuit Analysis API design
40,VLSI Designer Python R Pandas TensorFlow Machine Learning Computer Vision Data Structures API design
41,Software Developer Python R Pandas TensorFlow Digital Design Cloud Computing Circuit Analysis Ethics in AI
42,VLSI Designer Python PyTorch NLP Artificial Intelligence Computer Vision Data Structures API design
43,VLSI Designer Cisco Routing Switching Cybersecurity Network Protocols Firewall configuration Low power
44,Data Scientist Python R Pandas TensorFlow Digital Design Embedded Systems Advanced Algorithms Low power
45,Software Developer Cisco Routing Switching Digital Design Network Protocols Advanced Algorithms IoT security
46,Data Scientist Python Java SQL Machine Learning Statistics Firewall configuration API design
47,VLSI Designer Cisco Routing Switching Machine Learning Embedded Systems Deep Learning Low power
48,Software Developer Python Java SQL Digital Design Statistics Advanced Algorithms Low power
49,Data Scientist Python Java SQL Web Development Computer Vision Firewall configuration Low power
50,Data Scientist Cisco Routing Switching Digital Design Computer Vision Deep Learning API design
