user_id,interests_combined
1,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
2,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
3,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
4,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
5,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
6,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
7,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
8,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
9,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
10,"Machine Learning Engineer Python, TensorFlow, PyTorch, Scikit-learn, NumPy Deep Learning Data Science Model Optimization Neural Networks, GANs"
11,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
12,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
13,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
14,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
15,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
16,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
17,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
18,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
19,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
20,"Embedded Systems Engineer Verilog, VHDL, STM32, ARM Cortex, PCB Design Microcontrollers FPGA Design Low-Power Optimization RTL Design, UART, SPI"
21,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
22,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
23,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
24,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
25,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
26,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
27,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
28,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
29,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
30,"Full-Stack Developer JavaScript, React, Node.js, Express, MongoDB Frontend Frameworks Backend APIs Scalability REST, JWT"
31,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
32,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
33,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
34,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
35,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
36,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
37,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
38,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
39,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
40,"Cybersecurity Analyst Wireshark, Nmap, Kali Linux, Burp Suite, Python Penetration Testing Network Security Exploit Development OWASP, Metasploit"
